pathotype;strain;CV1R1;CV1R2;CV1R3;CV1R4;CV2R1;CV2R2;CV2R3;CV3R4;CV3R1;CV3R2;CV3R3;CV3R4;LB_1;LB_2;LB_3;TSB_1;TSB_2;TSB_3;BHI_1;BHI_2;BHI_3;M63+_1;M63+_2;M63+_3
EAEC;5264;1,663;1,619;1,687;1,836;0,944;0,933;0,976;1,040;0,906;1,647;1,739;1,623;0,1095;0,0357;0,0530;0,1597;0,0628;0,1494;0,2255;0,1019;0,0673;0,0401;0,0401;0,0243
EAEC;5265;0,330;0,306;0,322;0,294;0,433;0,434;0,410;0,429;0,274;0,185;0,426;0,368;0,0812;0,0749;0,0177;0,1230;0,0966;0,0338;0,1252;0,0890;0,0767;0,0919;0,1053;0,0091
EAEC;5266;2,202;2,190;2,043;1,943;1,767;1,785;1,682;1,592;2,292;2,249;2,499;2,571;0,1113;0,0463;0,0760;0,1597;0,0848;0,0535;0,2030;0,4610;0,1916;0,0246;0,0273;0,0141
EAEC;5269;0,274;0,250;0,295;0,281;0,344;0,803;0,377;0,385;0,150;0,173;0,229;0,237;0,0399;0,0289;0,1088;0,0348;0,0134;0,0332;0,2252;0,0709;0,0836;0,0098;0,0072;0,0082
EAEC;5270;2,643;2,338;2,701;2,395;1,752;1,612;1,766;1,678;2,356;2,443;2,037;2,130;0,1612;0,0355;0,0659;0,2555;0,0805;0,0447;0,1590;0,0616;0,0464;0,0696;0,0403;0,0081
EAEC;5271;0,390;0,408;0,441;0,463;0,285;0,255;0,330;0,310;0,348;0,267;0,259;0,239;0,1772;0,0710;0,0139;0,2395;0,1155;0,0208;0,2042;0,0510;0,0291;0,0188;0,0307;0,0189
EAEC;5272;1,358;1,248;1,335;1,100;0,863;0,659;0,902;0,781;0,773;0,679;0,488;0,420;0,2739;0,0993;0,1064;0,2045;0,0736;0,0980;0,1962;0,0743;0,0968;0,0211;0,0083;0,0049
EAEC;5275;0,394;0,331;0,438;0,428;0,629;0,578;0,296;0,414;0,175;0,229;0,196;0,169;0,1233;0,0401;0,0107;0,1805;0,0866;0,0288;0,1827;0,0532;0,0254;0,0112;0,0336;0,0067
EAEC;5276;1,395;1,245;1,478;1,260;1,362;1,517;1,516;1,091;0,830;0,704;0,738;0,790;0,0673;0,0356;0,0128;0,1629;0,0706;0,0687;0,1561;0,0582;0,0438;0,0125;0,0044;0,0058
EAEC;5277;1,413;1,565;1,589;1,746;1,166;1,253;1,156;1,093;1,170;0,888;1,109;0,914;0,1729;0,0449;0,0700;0,1271;0,0395;0,0484;0,2586;0,2386;0,1183;0,0274;0,0152;0,0107
